name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	610	610	0	60	60	-1	16710	16710	-1	2180	2180	-1	4188	4188	-1	11600	11600	-1	15030	15030	-1	t < 800 ms	485	79	800 ms < t < 1200 ms	14	2	t > 1200 ms	111	18	failed	0	0	5	5	-1
Hit Company List Page	100	100	0	270	270	-1	1310	1310	-1	606	606	-1	185	185	-1	870	870	-1	1110	1110	-1	t < 800 ms	87	87	800 ms < t < 1200 ms	12	12	t > 1200 ms	1	1	failed	0	0	1	1	-1
Search for Participant or Team Page	100	100	0	90	90	-1	960	960	-1	206	206	-1	144	144	-1	570	570	-1	670	670	-1	t < 800 ms	99	99	800 ms < t < 1200 ms	1	1	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Individual Registration Page 1	100	100	0	60	60	-1	560	560	-1	132	132	-1	99	99	-1	350	350	-1	530	530	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Join or Form a Team Page with TR Dropdown	100	100	0	6280	6280	-1	16710	16710	-1	10787	10787	-1	2008	2008	-1	14870	14870	-1	15670	15670	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	100	100	failed	0	0	1	1	-1
Hit Individual Registration Page 1 Redirect 1	10	10	0	7700	7700	-1	16090	16090	-1	11868	11868	-1	3044	3044	-1	16090	16090	-1	16090	16090	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	100	failed	0	0	0	0	-1
Hit Main Registration Page	100	100	0	80	80	-1	940	940	-1	179	179	-1	130	130	-1	520	520	-1	570	570	-1	t < 800 ms	99	99	800 ms < t < 1200 ms	1	1	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Find Participant or Team Page	100	100	0	90	90	-1	730	730	-1	204	204	-1	123	123	-1	500	500	-1	650	650	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1

