name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	610	610	0	60	60	-1	15570	15570	-1	2065	2065	-1	4008	4008	-1	10650	10650	-1	14260	14260	-1	t < 800 ms	488	80	800 ms < t < 1200 ms	12	1	t > 1200 ms	110	18	failed	0	0	5	5	-1
Hit Company List Page	100	100	0	290	290	-1	920	920	-1	553	553	-1	166	166	-1	850	850	-1	880	880	-1	t < 800 ms	89	89	800 ms < t < 1200 ms	11	11	t > 1200 ms	0	0	failed	0	0	1	1	-1
Search for Participant or Team Page	100	100	0	120	120	-1	800	800	-1	181	181	-1	93	93	-1	330	330	-1	510	510	-1	t < 800 ms	99	99	800 ms < t < 1200 ms	1	1	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Individual Registration Page 1	100	100	0	60	60	-1	730	730	-1	131	131	-1	118	118	-1	400	400	-1	450	450	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Join or Form a Team Page with TR Dropdown	100	100	0	6030	6030	-1	15570	15570	-1	10315	10315	-1	1930	1930	-1	14000	14000	-1	15520	15520	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	100	100	failed	0	0	1	1	-1
Hit Individual Registration Page 1 Redirect 1	10	10	0	6270	6270	-1	14530	14530	-1	11202	11202	-1	2988	2988	-1	14530	14530	-1	14530	14530	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	100	failed	0	0	0	0	-1
Hit Main Registration Page	100	100	0	70	70	-1	490	490	-1	129	129	-1	60	60	-1	210	210	-1	400	400	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Find Participant or Team Page	100	100	0	90	90	-1	560	560	-1	169	169	-1	67	67	-1	240	240	-1	490	490	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1

