name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	610	610	0	60	60	-1	194330	194330	-1	21143	21143	-1	0	0	-1	100710	100710	-1	192260	192260	-1	t < 800 ms	395	64	800 ms < t < 1200 ms	55	9	t > 1200 ms	160	26	failed	0	0	1	1	-1
Hit Company List Page	100	100	0	270	270	-1	2230	2230	-1	1028	1028	-1	503	503	-1	1850	1850	-1	2190	2190	-1	t < 800 ms	34	34	800 ms < t < 1200 ms	29	29	t > 1200 ms	37	37	failed	0	0	0	0	-1
Search for Participant or Team Page	100	100	0	90	90	-1	1570	1570	-1	394	394	-1	390	390	-1	1320	1320	-1	1510	1510	-1	t < 800 ms	82	82	800 ms < t < 1200 ms	11	11	t > 1200 ms	7	7	failed	0	0	0	0	-1
Hit Individual Registration Page 1	100	100	0	60	60	-1	640	640	-1	153	153	-1	139	139	-1	510	510	-1	570	570	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Hit Join or Form a Team Page with TR Dropdown	100	100	0	88900	88900	-1	194010	194010	-1	108070	108070	-1	0	0	-1	189500	189500	-1	193880	193880	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	100	100	failed	0	0	0	0	-1
Hit Individual Registration Page 1 Redirect 1	10	10	0	165870	165870	-1	194330	194330	-1	186651	186651	-1	0	0	-1	194330	194330	-1	194330	194330	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	100	failed	0	0	0	0	-1
Hit Main Registration Page	100	100	0	80	80	-1	1550	1550	-1	301	301	-1	312	312	-1	960	960	-1	1250	1250	-1	t < 800 ms	89	89	800 ms < t < 1200 ms	9	9	t > 1200 ms	2	2	failed	0	0	0	0	-1
Hit Find Participant or Team Page	100	100	0	80	80	-1	2050	2050	-1	363	363	-1	358	358	-1	960	960	-1	1460	1460	-1	t < 800 ms	90	90	800 ms < t < 1200 ms	6	6	t > 1200 ms	4	4	failed	0	0	0	0	-1

