name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	20	20	0	110	110	-1	2890	2890	-1	409	409	-1	594	594	-1	790	790	-1	2890	2890	-1	t < 800 ms	19	95	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	5	failed	0	0	1	1	-1
Hit Registration Page with TR Dropdown	10	10	0	290	290	-1	490	490	-1	352	352	-1	84	84	-1	490	490	-1	490	490	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Hit Registration Page with TR Dropdown Redirect 1	10	10	0	110	110	-1	2890	2890	-1	466	466	-1	832	832	-1	2890	2890	-1	2890	2890	-1	t < 800 ms	9	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	10	failed	0	0	0	0	-1

