name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	250	250	0	3420	3420	-1	33760	33760	-1	14246	14246	-1	5463	5463	-1	23670	23670	-1	28480	28480	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	250	100	failed	0	0	2	2	-1
Hit National Company Page	250	250	0	3420	3420	-1	33760	33760	-1	14246	14246	-1	5463	5463	-1	23670	23670	-1	28480	28480	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	250	100	failed	0	0	2	2	-1

