name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	10	10	0	7740	7740	-1	8710	8710	-1	8176	8176	-1	293	293	-1	8710	8710	-1	8710	8710	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	100	failed	0	0	0	0	-1
Hit National Company Page	10	10	0	7740	7740	-1	8710	8710	-1	8176	8176	-1	293	293	-1	8710	8710	-1	8710	8710	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	100	failed	0	0	0	0	-1

