name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	100	100	0	10	10	-1	90	90	-1	33	33	-1	19	19	-1	60	60	-1	70	70	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	3	3	-1
Hit Registration Page with TR Dropdown	50	50	0	10	10	-1	30	30	-1	16	16	-1	7	7	-1	30	30	-1	30	30	-1	t < 800 ms	50	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
Hit Registration Page with TR Dropdown Redirect 1	50	50	0	40	40	-1	90	90	-1	50	50	-1	10	10	-1	70	70	-1	90	90	-1	t < 800 ms	50	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1

