name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	20000	20000	0	0	0	-1	3370	3370	-1	528	528	-1	647	647	-1	1750	1750	-1	2190	2190	-1	t < 800 ms	13418	67	800 ms < t < 1200 ms	2780	13	t > 1200 ms	3802	19	failed	0	0	149	149	-1
Hit Registration Page with TR Dropdown	10000	10000	0	0	0	-1	1650	1650	-1	8	8	-1	47	47	-1	20	20	-1	130	130	-1	t < 800 ms	9996	99	800 ms < t < 1200 ms	3	0	t > 1200 ms	1	0	failed	0	0	74	74	-1
Hit Registration Page with TR Dropdown Redirect 1	10000	10000	0	30	30	-1	3370	3370	-1	1047	1047	-1	543	543	-1	1940	1940	-1	2420	2420	-1	t < 800 ms	3422	34	800 ms < t < 1200 ms	2777	27	t > 1200 ms	3801	38	failed	0	0	74	74	-1

