name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	2000	2000	0	10	10	-1	850	850	-1	77	77	-1	108	108	-1	320	320	-1	520	520	-1	t < 800 ms	1994	99	800 ms < t < 1200 ms	6	0	t > 1200 ms	0	0	failed	0	0	67	67	-1
Hit Registration Page with TR Dropdown	1000	1000	0	10	10	-1	640	640	-1	57	57	-1	101	101	-1	280	280	-1	530	530	-1	t < 800 ms	1000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	33	33	-1
Hit Registration Page with TR Dropdown Redirect 1	1000	1000	0	30	30	-1	850	850	-1	98	98	-1	110	110	-1	340	340	-1	480	480	-1	t < 800 ms	994	99	800 ms < t < 1200 ms	6	0	t > 1200 ms	0	0	failed	0	0	33	33	-1

