name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	610	610	0	60	60	-1	1360	1360	-1	171	171	-1	149	149	-1	430	430	-1	740	740	-1	t < 800 ms	605	99	800 ms < t < 1200 ms	4	0	t > 1200 ms	1	0	failed	0	0	18	18	-1
Hit Company List Page	100	100	0	290	290	-1	1360	1360	-1	341	341	-1	134	134	-1	580	580	-1	820	820	-1	t < 800 ms	98	98	800 ms < t < 1200 ms	1	1	t > 1200 ms	1	1	failed	0	0	3	3	-1
Search for Participant or Team Page	100	100	0	80	80	-1	1180	1180	-1	131	131	-1	126	126	-1	180	180	-1	740	740	-1	t < 800 ms	99	99	800 ms < t < 1200 ms	1	1	t > 1200 ms	0	0	failed	0	0	3	3	-1
Hit Individual Registration Page 1	100	100	0	60	60	-1	530	530	-1	150	150	-1	120	120	-1	460	460	-1	530	530	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	3	3	-1
Hit Join or Form a Team Page with TR Dropdown	100	100	0	60	60	-1	640	640	-1	134	134	-1	110	110	-1	440	440	-1	460	460	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	3	3	-1
Hit Individual Registration Page 1 Redirect 1	10	10	0	110	110	-1	280	280	-1	177	177	-1	53	53	-1	280	280	-1	280	280	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Hit Main Registration Page	100	100	0	70	70	-1	1180	1180	-1	126	126	-1	147	147	-1	380	380	-1	780	780	-1	t < 800 ms	99	99	800 ms < t < 1200 ms	1	1	t > 1200 ms	0	0	failed	0	0	3	3	-1
Hit Find Participant or Team Page	100	100	0	80	80	-1	1180	1180	-1	143	143	-1	137	137	-1	370	370	-1	630	630	-1	t < 800 ms	99	99	800 ms < t < 1200 ms	1	1	t > 1200 ms	0	0	failed	0	0	3	3	-1

